raceId,year,round,circuitId,name,date
1,2025,1,1,Australian Grand Prix,2025-03-16
2,2025,2,2,Chinese Grand Prix,2025-03-23
3,2025,3,3,Japanese Grand Prix,2025-04-06
4,2025,4,4,Bahrain Grand Prix,2025-04-13
5,2025,5,5,Saudi Arabian Grand Prix,2025-04-20
6,2025,6,6,Miami Grand Prix,2025-05-04
7,2025,7,7,Emilia Romagna Grand Prix,2025-05-18
8,2025,8,8,Monaco Grand Prix,2025-05-25
9,2025,9,9,Spanish Grand Prix,2025-06-01
10,2025,10,10,Canadian Grand Prix,2025-06-15
11,2025,11,11,Austrian Grand Prix,2025-06-29
12,2025,12,12,British Grand Prix,2025-07-06
13,2025,13,13,Belgian Grand Prix,2025-07-27
14,2025,14,14,Hungarian Grand Prix,2025-08-03
15,2025,15,15,Dutch Grand Prix,2025-08-31
16,2025,16,16,Italian Grand Prix,2025-09-07
17,2025,17,17,Azerbaijan Grand Prix,2025-09-21
18,2025,18,18,Singapore Grand Prix,2025-10-05
19,2025,19,19,United States Grand Prix,2025-10-19
20,2025,20,20,Mexico City Grand Prix,2025-10-26
21,2025,21,21,Ṣo Paulo Grand Prix,2025-11-09
22,2025,22,22,Las Vegas Grand Prix,2025-11-22
23,2025,23,23,Qatar Grand Prix,2025-11-30
24,2025,24,24,Abu Dhabi Grand Prix,2025-12-07
